MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 Nmax
3.6723687e-05	 5.3776668e-06	 1.4333334e-05	 4.0824828e-06	 1.3333333e-05	3.4880746e-06	1
5.2022371e-05	 1.9910660e-06	 1.1000000e-05	 1.9691138e-13	 1.0333333e-05	4.0824843e-07	2
1.2322799e-04	 7.7600543e-06	 1.1000000e-05	 1.9691138e-13	 1.0333333e-05	4.0824843e-07	4
3.6090519e-04	 9.1242148e-06	 1.1333334e-05	 4.0824843e-07	 1.0666667e-05	4.0824843e-07	8
1.2908050e-03	 1.5928517e-05	 1.1666667e-05	 4.0824843e-07	 1.1000000e-05	1.9691138e-13	16
5.3629103e-03	 4.9726868e-04	 1.2333333e-05	 4.0824806e-07	 1.1666667e-05	4.0824843e-07	32
1.5525751e-02	 1.0469025e-03	 1.5666667e-05	 4.0824843e-07	 1.5000000e-05	0.0000000e+00	64
3.5797150e-02	 7.7303195e-04	 3.0666666e-05	 4.0824843e-07	 3.0000000e-05	7.0710638e-07	128
3.3826204e-02	 4.5885657e-04	 1.0600000e-04	 2.8284281e-06	 1.0400000e-04	1.4142140e-06	256
5.2165197e-02	 1.1491011e-02	 4.2833334e-04	 5.0166366e-06	 4.2600000e-04	5.5226751e-06	512
3.0438878e-02	 9.7556700e-04	 4.4159999e-03	 1.5554904e-04	 4.3866667e-03	1.5113129e-04	1024
1.6540917e-02	 6.8043590e-03	 2.0677000e-02	 1.0271159e-05	 2.0550000e-02	1.1683500e-05	2048
2.4483279e-02	 8.7659113e-03	 9.0022668e-02	 1.1919393e-03	 8.9509331e-02	1.1909791e-03	4096
2.5729083e-02	 9.7769569e-03	 3.7155401e-01	 2.9269944e-04	 3.6942033e-01	2.7769436e-04	8192
2.4922490e-02	 9.7094632e-03	 1.5885793e+00	 8.1529221e-03	 1.5794764e+00	8.0901990e-03	16384
