MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 Nmax
1.5106943e-05	 3.4249131e-07	 1.8250000e-05	 5.0348786e-06	 1.7000000e-05	4.6475798e-06	1
2.8612304e-05	 3.1989533e-06	 1.5750000e-05	 3.8729847e-07	 1.5000000e-05	0.0000000e+00	2
7.0166546e-05	 2.1547474e-06	 1.7000000e-05	 0.0000000e+00	 1.6250000e-05	3.8729847e-07	4
2.2950516e-04	 2.7316696e-06	 2.1000000e-05	 0.0000000e+00	 2.0750000e-05	3.8729847e-07	8
4.6292933e-04	 2.5827672e-05	 3.9000000e-05	 1.6733197e-06	 3.8750000e-05	2.2248592e-06	16
6.9763512e-04	 1.9184796e-05	 1.0550000e-04	 3.3763897e-06	 1.0475000e-04	3.3090795e-06	32
7.8809202e-04	 2.8322709e-05	 3.7750000e-04	 1.3805800e-05	 3.7525001e-04	1.4343986e-05	64
8.1629565e-04	 1.0885565e-05	 1.4857500e-03	 1.9943667e-05	 1.4757500e-03	1.9752212e-05	128
1.2812115e-03	 1.7295861e-05	 6.0142500e-03	 7.0479324e-05	 5.9927499e-03	7.0689081e-05	256
1.4550175e-03	 9.6631373e-05	 2.5655500e-02	 1.7953327e-03	 2.5577500e-02	1.7865513e-03	512
1.4441826e-03	 3.9612923e-06	 1.1857675e-01	 3.3474972e-04	 1.1823300e-01	3.2802533e-04	1024
1.2454385e-03	 1.5214371e-06	 5.4922250e-01	 7.0911013e-04	 5.4756275e-01	6.9349671e-04	2048
8.9817610e-04	 1.3755212e-06	 3.0420687e+00	 4.5478844e-03	 3.0333015e+00	4.5571248e-03	4096
8.9136045e-04	 2.5233618e-08	 1.2264245e+01	 6.0684478e-04	 1.2229432e+01	4.8861232e-04	8192
8.4399491e-04	 3.1183768e-07	 5.1800852e+01	 1.9940458e-02	 5.1655812e+01	2.0017222e-02	16384
