MFLOPS   MFLOPS%         REAL_TIME       REAL_TIME%      PROC_TIME       PROC_TIME%      Nmax
8.3970889e-05    0.0000000e+00   2.4999999e-05   0.0000000e+00   2.3000001e-05  0.0000000e+00   1
8.2260370e-05    0.0000000e+00   1.9999999e-05   0.0000000e+00   1.5000000e-05  0.0000000e+00   2
7.4034336e-04    0.0000000e+00   1.1000000e-05   0.0000000e+00   9.9999997e-06  0.0000000e+00   4
5.2867734e-03    0.0000000e+00   1.1000000e-05   0.0000000e+00   1.1000000e-05  0.0000000e+00   8
2.7137452e-02    0.0000000e+00   1.9999999e-05   0.0000000e+00   1.8999999e-05  0.0000000e+00   16
6.1396384e-02    0.0000000e+00   6.2999999e-05   0.0000000e+00   6.2999999e-05  0.0000000e+00   32
7.8955943e-02    0.0000000e+00   3.8300001e-04   0.0000000e+00   3.7900000e-04  0.0000000e+00   64
8.8526628e-02    0.0000000e+00   2.6640000e-03   0.0000000e+00   2.6560000e-03  0.0000000e+00   128
1.0862905e-01    0.0000000e+00   3.2906000e-02   0.0000000e+00   3.2806002e-02  0.0000000e+00   256
1.0712424e-01    0.0000000e+00   3.8347000e-01   0.0000000e+00   3.7623000e-01  0.0000000e+00   512
1.0701133e-01    0.0000000e+00   3.0464759e+00   0.0000000e+00   3.0273931e+00  0.0000000e+00   1024
1.0460043e-01    0.0000000e+00   2.5232004e+01   0.0000000e+00   2.5128532e+01  0.0000000e+00   2048
1.0809508e-01    0.0000000e+00   2.4611011e+02   0.0000000e+00   2.4511028e+02  0.0000000e+00   4096
1.0942664e-01    0.0000000e+00   2.1774329e+03   0.0000000e+00   2.1677395e+03  0.0000000e+00   8192
1.0594939e-01    0.0000000e+00   1.7718723e+04   0.0000000e+00   1.7663621e+04  0.0000000e+00   16384
