MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 N_B
3.9415115e-03	 1.3604801e-03	 1.2821710e-01	 1.3021281e-04	 1.2775750e-01	1.2390948e-04	1
7.3942599e-03	 3.4436912e-03	 5.9387600e-02	 1.2664200e-02	 5.9107900e-02	1.2623584e-02	2
7.5971543e-03	 1.6593375e-03	 5.5111201e-02	 1.9345435e-04	 5.4835700e-02	1.8972221e-04	4
6.5440167e-03	 1.4774654e-03	 4.8831800e-02	 2.3221184e-04	 4.8584399e-02	2.2794452e-04	8
2.0880588e-02	 7.7866548e-03	 2.0922800e-02	 5.5869686e-05	 2.0782300e-02	5.5676146e-05	16
2.1343193e-02	 1.2745597e-02	 1.8099600e-02	 2.1259981e-04	 1.7964900e-02	2.0975586e-04	32
3.4093403e-02	 1.3970543e-02	 1.9433000e-02	 2.3827455e-04	 1.9299000e-02	2.3728386e-04	64
2.7437488e-02	 1.5848035e-02	 2.1059600e-02	 1.8568098e-04	 2.0910800e-02	1.8246292e-04	128
3.3257986e-02	 3.3275276e-02	 4.7339800e-02	 5.0729347e-04	 4.7101100e-02	5.0343741e-04	256
5.3377919e-02	 3.0377491e-02	 4.7858200e-02	 1.0243618e-03	 4.7622100e-02	1.0168487e-03	512
3.8788251e-02	 3.2913303e-02	 5.3050100e-02	 4.2360080e-04	 5.2807201e-02	4.1953083e-04	1024
3.6074638e-02	 3.0421762e-02	 5.4429000e-02	 4.2295653e-04	 5.4171400e-02	4.2093731e-04	2048
6.7340438e-02	 1.9979356e-03	 5.4919901e-02	 1.8092981e-03	 5.4663699e-02	1.7858415e-03	4096
