MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 Nmax
1.9362076e-05	 2.3519546e-06	 1.5250000e-05	 6.5840718e-06	 1.4000000e-05	5.6920996e-06	1
3.6700155e-05	 1.3222241e-06	 1.1000000e-05	 0.0000000e+00	 1.0250000e-05	3.8729847e-07	2
1.0241904e-04	 4.3622070e-06	 1.1000000e-05	 0.0000000e+00	 1.0500000e-05	4.4721375e-07	4
3.4615197e-04	 1.4303709e-05	 1.1000000e-05	 0.0000000e+00	 1.0750000e-05	3.8729847e-07	8
1.1781530e-03	 2.8995435e-04	 1.4250000e-05	 5.0348786e-06	 1.3750000e-05	4.7906160e-06	16
5.1363453e-03	 6.8976633e-04	 1.3000000e-05	 1.5491932e-06	 1.2250000e-05	1.9364916e-06	32
1.7259315e-02	 2.2819183e-03	 1.7000000e-05	 3.0983870e-06	 1.6750000e-05	2.7110886e-06	64
4.4927433e-02	 6.9039634e-03	 4.3999999e-05	 8.2704292e-06	 4.3499999e-05	8.0124916e-06	128
6.9947556e-02	 1.2620237e-04	 1.7750000e-04	 2.3237908e-06	 1.7600000e-04	0.0000000e+00	256
7.6392181e-02	 1.7630282e-04	 6.8025000e-04	 3.4278228e-06	 6.7725001e-04	1.1618788e-06	512
7.8146685e-02	 1.3579946e-04	 1.1399750e-02	 1.8247086e-05	 1.1352000e-02	1.7041256e-05	1024
6.8604807e-02	 1.9025315e-04	 5.3508501e-02	 3.7162343e-05	 5.3284500e-02	3.9781760e-05	2048
4.9622246e-02	 2.1578927e-04	 2.8510125e-01	 1.2745450e-03	 2.8404425e-01	1.2737001e-03	4096
4.5048271e-02	 2.1947858e-05	 1.2932263e+00	 5.4632390e-04	 1.2890123e+00	5.2153715e-04	8192
3.4986851e-02	 1.0266015e-05	 6.6892780e+00	 3.2732458e-03	 6.6681248e+00	3.2610531e-03	16384
