MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 Nmax
9.7541946e-06	 0.0000000e+00	 1.6000000e-05	 4.3011628e-06	 1.4666667e-05	4.4907312e-06	1
6.0150865e-05	 5.2678664e-06	 1.1666667e-05	 4.0824843e-07	 1.1333334e-05	4.0824843e-07	2
4.5738418e-04	 1.9336462e-05	 1.5666667e-05	 4.0824843e-07	 1.3666667e-05	4.0824843e-07	4
2.5252892e-05	 1.5138227e-05	 5.5333335e-05	 3.0102602e-05	 5.0666667e-05	3.1443069e-05	8
1.4538395e-05	 1.4617462e-06	 2.2666667e-05	 1.0801238e-06	 2.1000000e-05	7.0710702e-07	16
1.3655383e-05	 3.2408447e-06	 3.1666666e-05	 5.4006171e-06	 3.0333334e-05	4.8131758e-06	32
5.4054935e-06	 1.3247844e-06	 8.3000003e-05	 1.3490736e-05	 8.2000002e-05	1.3472192e-05	64
1.1485160e-06	 8.6562424e-09	 3.4599999e-04	 1.9532022e-05	 3.4266666e-04	2.0522353e-05	128
2.0258240e-07	 2.4524800e-08	 2.3223334e-03	 8.3708835e-05	 2.3056666e-03	8.3956354e-05	256
2.6582265e-08	 6.8751189e-11	 1.6245999e-02	 3.7729028e-05	 1.6145666e-02	4.1835086e-05	512
3.5527146e-09	 2.0995741e-11	 1.2172433e-01	 7.1849945e-04	 1.2081033e-01	7.1681948e-04	1024
4.3786004e-10	 2.4239378e-11	 9.4525999e-01	 2.0285665e-03	 9.3949935e-01	2.0843943e-03	2048
5.7585416e-11	 6.9464769e-15	 7.4982755e+00	 7.2628579e-04	 7.4530075e+00	8.9947051e-04	4096
1.4737731e-11	 9.2174254e-12	 5.9844007e+01	 3.6296409e-02	 5.9484457e+01	3.5402302e-02	8192
1.0383387e-12	 1.1186893e-13	 4.8320087e+02	 3.9506113e+00	 4.8170212e+02	3.8122981e+00	16384
