MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 N_B
0.00541201	 0.000138123	 471.968	 12.0479	 469.201	12.0126	 1
0.00560436	 0.000237043	 240.885	 10.5386	 239.462	10.4656	 2
0.0061224	 0.000232878	 183.491	 6.73888	 182.425	6.69537	 4
0.0108495	 0.000193159	 143.475	 2.27101	 142.646	2.2666	 8
0.0123358	 0.000102	 135.35	         0.64866	 134.651	0.609935 16
0.0160212	 0.000185894	 139.126	 4.36566	 138.356	4.33365	 32
0.016069	 8.64625e-05	 149.18	         0.32127	 148.281	0.298877 64
0.0174527	 3.08729e-05	 158.09	         0.304118	 157.139	0.231094 128
0.0152319	 0.000271068	 180.207	 3.23937	 179.106	3.16606	 256
0.0126537	 0.000255341	 217.294	 4.42844	 215.866	4.31647	 512
0.0113757	 0.000308353	 241.254	 7.84727	 235.086	6.44455	 1024
0.00772218	 7.08458e-05	 345.675	 3.14387	 344.058	3.10879	 2048

