MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 N_B
1.0876784e-09	 1.8928170e-10	 4.7581790e-01	 3.6911396e-03	 4.7322511e-01	3.5101665e-03	1
2.0671892e-09	 2.0351440e-10	 2.2711200e-01	 3.9487910e-03	 2.2579550e-01	3.8111915e-03	2
1.9815261e-09	 2.0236690e-10	 2.3424620e-01	 3.1893838e-03	 2.3286710e-01	3.1107056e-03	4
2.3193035e-09	 2.2826410e-10	 2.0244240e-01	 2.7618624e-03	 2.0124390e-01	2.6618329e-03	8
5.4069445e-09	 8.6282823e-11	 8.9966600e-02	 1.4706833e-03	 8.9323401e-02	1.4127474e-03	16
5.8603481e-09	 8.9330233e-11	 8.3064999e-02	 1.3323156e-03	 8.2411101e-02	1.2733858e-03	32
5.8852446e-09	 2.2634362e-10	 8.1771201e-02	 1.3250546e-03	 8.1161101e-02	1.2626128e-03	64
2.4076013e-09	 2.5211497e-10	 1.9527640e-01	 1.9869762e-03	 1.9405630e-01	1.8651470e-03	128
2.4196379e-09	 2.3889568e-10	 1.9406150e-01	 1.0040833e-03	 1.9289990e-01	8.9265479e-04	256
1.7585492e-09	 2.3708092e-10	 2.5460231e-01	 2.1866933e-03	 2.5313830e-01	2.0624001e-03	512
1.8484493e-09	 1.8361727e-10	 2.5396100e-01	 1.6034062e-03	 2.5253190e-01	1.4374809e-03	1024
1.7400424e-09	 2.3632750e-10	 2.6050750e-01	 1.2874420e-03	 2.5896640e-01	1.2474757e-03	2048
1.5049858e-09	 2.0711059e-10	 3.0114990e-01	 2.5413177e-03	 2.9952240e-01	2.3657605e-03	4096
