MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 Nmax
2.3533929e-05	 5.9536033e-06	 1.6000000e-05	 4.8989797e-06	 1.4666667e-05	3.8944403e-06	1
1.2503539e-05	 1.9086234e-06	 1.4000000e-05	 2.4494898e-06	 1.3333334e-05	2.2730303e-06	2
1.4224867e-05	 4.9776682e-07	 1.2333333e-05	 4.0824806e-07	 1.1333334e-05	4.0824843e-07	4
4.2053798e-05	 2.1179698e-05	 1.6333334e-05	 3.4880750e-06	 1.5666667e-05	3.2659863e-06	8
2.1639558e-05	 1.6564334e-06	 1.5333334e-05	 1.6329933e-06	 1.5000001e-05	1.2247449e-06	16
1.3162104e-05	 1.0202669e-06	 2.4666667e-05	 2.0412414e-06	 2.4666667e-05	2.0412414e-06	32
1.1298396e-05	 1.9648631e-06	 9.4999999e-05	 1.8986838e-05	 9.4666666e-05	1.9187670e-05	64
1.7318192e-06	 1.3851544e-07	 5.9700001e-04	 5.3893396e-05	 5.9400001e-04	5.0828125e-05	128
2.3319590e-07	 2.8733013e-09	 4.4669999e-03	 9.9769668e-05	 4.4483334e-03	9.8046757e-05	256
5.8614587e-08	 9.4774373e-10	 3.1527000e-02	 1.7137906e-04	 3.1427334e-02	1.7176919e-04	512
1.2625256e-08	 8.1960599e-11	 2.5010066e-01	 2.3378121e-04	 2.4928933e-01	2.0781894e-04	1024
4.3765127e-09	 1.1417233e-11	 1.9343547e+00	 1.6396587e-05	 1.9286200e+00	7.7807831e-05	2048
1.9794108e-09	 1.7663032e-11	 1.5285915e+01	 1.3134624e-01	 1.5242502e+01	1.3088414e-01	4096
9.1834671e-10	 1.6943563e-11	 1.2432498e+02	 2.3572645e+00	 1.2357370e+02	2.3727747e+00	8192
4.6282739e-10	 5.4497460e-12	 1.0495749e+03	 1.6662655e+01	 1.0444732e+03	1.7626554e+01	16384
