MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 Nmax
4.5010163e-05	 2.9238492e-06	 2.2333334e-05	 3.1885209e-06	 2.1000000e-05	3.2403702e-06	1
6.2326433e-05	 2.8987588e-06	 1.7666667e-05	 4.0824843e-07	 1.6666667e-05	4.0824843e-07	2
1.2216701e-04	 3.2276236e-06	 2.0666667e-05	 4.0824843e-07	 1.9333333e-05	4.0824843e-07	4
3.3249029e-04	 2.0337334e-06	 2.1333333e-05	 1.0801238e-06	 2.0333333e-05	4.0824843e-07	8
9.1930781e-04	 1.7229792e-05	 2.6666668e-05	 4.0824843e-07	 2.5666667e-05	4.0824843e-07	16
2.2104782e-03	 1.4391296e-05	 4.4666668e-05	 4.0824843e-07	 4.3333334e-05	4.0824843e-07	32
3.6666530e-03	 1.6815841e-05	 1.0766667e-04	 4.0824843e-07	 1.0633334e-04	4.0824843e-07	64
6.8430001e-03	 1.5164158e-03	 2.5233333e-04	 6.7769215e-05	 2.5166666e-04	6.7566015e-05	128
8.6068722e-03	 8.2648322e-04	 8.6133330e-04	 1.0196160e-04	 8.5300001e-04	1.0105694e-04	256
1.4033801e-02	 1.7727815e-05	 2.7426666e-03	 4.2622697e-06	 2.7316666e-03	4.0207183e-06	512
1.0333385e-02	 1.9130674e-04	 1.4872334e-02	 2.9239105e-04	 1.4812000e-02	2.9219608e-04	1024
1.0356113e-02	 2.9596784e-05	 6.2923668e-02	 1.7604601e-04	 6.2605333e-02	1.7935955e-04	2048
1.0989059e-02	 1.1318347e-05	 2.9196032e-01	 2.8684459e-04	 2.9049466e-01	2.8972975e-04	4096
1.0549107e-02	 3.9969176e-06	 1.2236480e+00	 5.6905092e-04	 1.2173150e+00	5.0132119e-04	8192
1.0284705e-02	 2.3248170e-05	 5.1506829e+00	 9.8930980e-03	 5.1231323e+00	9.9413522e-03	16384
