MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 Nmax
1.4222465e-05	 7.5585900e-07	 1.9250000e-05	 6.0786511e-06	 1.8250000e-05	5.5632728e-06	1
2.7718170e-05	 2.6524320e-06	 1.6000000e-05	 0.0000000e+00	 1.5000000e-05	0.0000000e+00	2
6.8835206e-05	 2.1963220e-06	 1.7500000e-05	 4.4721375e-07	 1.6750000e-05	3.8729847e-07	4
2.2634376e-04	 7.9087582e-06	 2.1250000e-05	 3.8729847e-07	 2.0750000e-05	3.8729847e-07	8
4.7072153e-04	 3.9352398e-05	 3.9750000e-05	 3.2480768e-06	 3.9500000e-05	2.8635645e-06	16
7.0100186e-04	 1.5932175e-05	 1.0475000e-04	 2.2248603e-06	 1.0400000e-04	2.0976184e-06	32
7.9860930e-04	 1.5417319e-05	 3.6925000e-04	 8.2310370e-06	 3.6875001e-04	7.9341081e-06	64
8.0083848e-04	 1.8280836e-05	 1.4477500e-03	 3.0386647e-05	 1.4397500e-03	3.3053759e-05	128
1.2797083e-03	 9.5030631e-06	 6.1172500e-03	 4.5331594e-05	 6.0932500e-03	4.5437240e-05	256
1.4064569e-03	 1.2806597e-05	 2.6456250e-02	 2.3195136e-04	 2.6367000e-02	2.3312473e-04	512
1.2644160e-03	 1.7421626e-05	 1.3531600e-01	 1.8223667e-03	 1.3486375e-01	1.8160766e-03	1024
9.2059223e-04	 6.1120438e-07	 7.4078676e-01	 4.8968693e-04	 7.3830600e-01	4.9822728e-04	2048
8.9861395e-04	 7.0702612e-07	 3.0408217e+00	 2.2275261e-03	 3.0310612e+00	2.3213102e-03	4096
8.9173880e-04	 3.8749718e-07	 1.2261643e+01	 5.8521838e-03	 1.2222992e+01	5.4066575e-03	8192
8.4067268e-04	 5.3373972e-06	 5.1998634e+01	 3.4922677e-01	 5.1848510e+01	3.3801702e-01	16384
