MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 N_B
4.8951490e-03	 7.2251729e-04	 2.1719690e-01	 3.4830444e-02	 2.1644690e-01	3.4746221e-02	1
4.6358070e-03	 3.8545853e-06	 1.3919380e-01	 1.2076117e-04	 1.3865850e-01	1.1785155e-04	2
4.8447238e-03	 6.4954986e-06	 1.1719830e-01	 1.5025587e-04	 1.1673040e-01	1.4572190e-04	4
5.1197937e-03	 1.5697585e-05	 1.0353480e-01	 3.2543714e-04	 1.0311040e-01	3.2819467e-04	8
1.0762203e-02	 3.6541478e-05	 6.3820001e-02	 2.1857690e-04	 6.3466798e-02	2.1582831e-04	16
8.2176689e-03	 1.7943766e-05	 9.9987699e-02	 2.1099422e-04	 9.9598501e-02	2.0496541e-04	32
8.7493476e-03	 1.5158151e-05	 1.0413640e-01	 2.1163177e-04	 1.0373870e-01	1.8250022e-04	64
9.5119110e-03	 1.5831948e-05	 1.0559860e-01	 1.9057411e-04	 1.0520290e-01	1.7320644e-04	128
9.0165290e-03	 2.8656062e-05	 1.1145060e-01	 3.6729541e-04	 1.1105950e-01	3.6851217e-04	256
8.9766560e-03	 1.4653144e-05	 1.1189990e-01	 1.7552814e-04	 1.1152220e-01	1.7447381e-04	512
8.7609329e-03	 2.1919955e-05	 1.1403660e-01	 2.8533764e-04	 1.1364720e-01	2.8041790e-04	1024
7.0122766e-03	 1.4307924e-05	 1.4354220e-01	 2.8940510e-04	 1.4305270e-01	2.8791425e-04	2048
7.1665540e-03	 4.4720558e-05	 1.4381030e-01	 9.2959543e-04	 1.4328650e-01	9.1961242e-04	4096
