MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 Nmax
1.5809924e-05	 1.1962981e-06	 1.3000000e-05	 3.0983863e-06	 1.2500000e-05	2.8635645e-06	1
2.0971518e-05	 7.5555654e-07	 1.1000000e-05	 0.0000000e+00	 1.0250000e-05	3.8729847e-07	2
8.1935234e-05	 3.4897662e-06	 1.1250000e-05	 3.8729847e-07	 1.0500000e-05	4.4721375e-07	4
3.3286188e-04	 4.7536109e-06	 1.1000000e-05	 0.0000000e+00	 1.1000000e-05	0.0000000e+00	8
1.3046235e-03	 7.2338972e-06	 1.1250000e-05	 3.8729847e-07	 1.1000000e-05	0.0000000e+00	16
5.3303623e-03	 1.5805006e-04	 1.2250000e-05	 3.8729811e-07	 1.1500000e-05	4.4721375e-07	32
1.8506795e-02	 1.2378124e-04	 1.5500000e-05	 4.4721375e-07	 1.5000000e-05	0.0000000e+00	64
4.8090328e-02	 5.2421450e-04	 3.9249999e-05	 7.4162010e-07	 3.8999999e-05	6.3245575e-07	128
6.5644938e-02	 4.3945642e-03	 1.8925000e-04	 1.6141562e-05	 1.8725000e-04	1.6424067e-05	256
1.8457069e-02	 1.2221672e-04	 7.6700000e-04	 5.1768683e-06	 7.6200000e-04	5.0199775e-06	512
1.1297758e-02	 1.4297852e-03	 5.4530000e-03	 1.8611791e-05	 5.4260000e-03	1.6840500e-05	1024
1.0014936e-02	 7.7125363e-06	 2.2650500e-02	 6.6539025e-05	 2.2491500e-02	2.1526574e-05	2048
1.1736227e-02	 1.5741945e-03	 9.1427751e-02	 1.0263294e-03	 9.0901751e-02	1.0255630e-03	4096
4.9727138e-03	 6.5365181e-04	 7.9517126e-01	 2.0014581e-04	 7.9188976e-01	1.9929304e-04	8192
4.6660183e-03	 6.1693069e-04	 3.3890089e+00	 9.4991543e-03	 3.3744880e+00	8.8903815e-03	16384
