MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 Nmax
3.0242281e-05	 1.6499887e-05	 1.4250000e-05	 3.4856848e-06	 1.3000000e-05	3.1622774e-06	1
3.6889821e-05	 2.7913625e-06	 1.0250000e-05	 3.8729847e-07	 1.0250000e-05	7.4161979e-07	2
9.3437053e-05	 7.5975113e-06	 1.1250000e-05	 7.4162010e-07	 1.1000000e-05	8.9442749e-07	4
1.3716836e-05	 4.7222307e-07	 1.2250000e-05	 3.8729811e-07	 1.1750000e-05	3.8729847e-07	8
1.4753219e-05	 2.0777810e-06	 1.1750000e-05	 1.7175563e-06	 1.1250000e-05	1.9364916e-06	16
1.1520579e-05	 1.3319107e-06	 1.5250000e-05	 1.9364913e-06	 1.4250000e-05	1.9364920e-06	32
7.7648522e-06	 1.8226149e-06	 2.3499999e-05	 7.4966654e-06	 2.3000000e-05	7.7459658e-06	64
1.6835491e-06	 2.7895680e-07	 1.0575000e-04	 9.4736481e-06	 1.0500000e-04	9.8590066e-06	128
3.4448395e-07	 2.3657441e-08	 4.7249999e-04	 3.0766856e-05	 4.6999999e-04	3.2588330e-05	256
1.0230503e-07	 3.9772879e-08	 2.1120000e-03	 4.7413068e-05	 2.0997500e-03	4.7275251e-05	512
1.8307918e-08	 2.5640523e-10	 1.7663250e-02	 2.4800142e-04	 1.7586250e-02	2.4714074e-04	1024
3.5915377e-09	 2.8050278e-11	 8.9972751e-02	 7.0001425e-04	 8.9631001e-02	7.0459026e-04	2048
8.2829177e-10	 4.7634904e-11	 4.0624275e-01	 1.9275184e-03	 4.0468950e-01	1.8729275e-03	4096
1.5573608e-10	 3.4514470e-11	 1.8154467e+00	 4.9882379e-03	 1.8087600e+00	4.9595650e-03	8192
3.6799726e-11	 2.9190936e-13	 8.7802064e+00	 7.0123829e-02	 8.7477212e+00	6.9387152e-02	16384
