MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 N_B
0.00583446	 0	 437.262	 0	 434.936	0	1
0.00591992	 0	 227.44	 0	 226.191	0	2
0.00670114	 0	 168.671	 0	 167.696	0	4
0.0113612	 0	 137.843	 0	 137.055	0	8
0.0123573	 0	 133.632	 0	 132.895	0	16
0.0156315	 0	 130.76	 0	 130.036	0	32
0.0160401	 0	 149.475	 0	 148.63	0	64
0.0174336	 0	 157.797	 0	 156.909	0	128
0.0149539	 0	 183.316	 0	 182.273	0	256
0.0125585	 0	 218.645	 0	 217.368	0	512
0.0118851	 0	 226.213	 0	 224.88	0	1024
0.00682054	 0	 391.666	 0	 389.403	0	2048
0.0132379	 0	 407.285	 0	 404.939	0	4096
