MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 Nmax
3.7363983e-05	 1.7362794e-06	 1.2500000e-05	 3.4351124e-06	 1.2500000e-05	2.8635645e-06	1
5.9608966e-05	 3.7700018e-06	 9.7500001e-06	 7.4161973e-07	 9.5000003e-06	7.7459658e-07	2
1.3859085e-04	 4.4207213e-06	 9.7499999e-06	 3.8729811e-07	 9.0000003e-06	0.0000000e+00	4
4.1651764e-04	 2.6144832e-05	 9.5000000e-06	 4.4721334e-07	 9.5000000e-06	4.4721334e-07	8
1.4416428e-03	 1.2834453e-04	 1.1750000e-05	 1.8303005e-06	 1.0250000e-05	7.4161979e-07	16
6.4342323e-03	 3.6955653e-04	 9.9999997e-06	 0.0000000e+00	 1.0250000e-05	3.8729847e-07	32
1.7250241e-02	 7.9857065e-04	 1.6250000e-05	 1.9364916e-06	 1.4750000e-05	7.4161973e-07	64
3.1764941e-02	 8.5155516e-05	 3.3500000e-05	 4.4721375e-07	 3.3000000e-05	0.0000000e+00	128
3.7914723e-02	 1.6040329e-03	 1.3625000e-04	 9.7468163e-07	 1.3550000e-04	1.3416423e-06	256
2.2226979e-02	 4.0351783e-03	 8.6375000e-04	 6.4396824e-05	 8.5899999e-04	6.3696161e-05	512
6.0075339e-03	 1.3580249e-03	 1.2456750e-02	 1.6253795e-04	 1.2382500e-02	1.5224261e-04	1024
6.1923520e-03	 1.4703925e-03	 4.9646500e-02	 5.4467420e-04	 4.9310001e-02	5.0499709e-04	2048
5.5177784e-03	 1.3891060e-03	 1.9455825e-01	 6.7212834e-03	 1.9381275e-01	6.6415633e-03	4096
9.0102104e-03	 2.1438345e-03	 7.4572174e-01	 9.7651783e-04	 7.4293876e-01	1.0171622e-03	8192
6.5566367e-03	 2.6086937e-03	 3.6989425e+00	 7.3085701e-01	 3.6853810e+00	7.2905364e-01	16384
