MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 Nmax
6.8767070e-05	 1.0909883e-05	 1.4000000e-05	 4.1472883e-06	 1.3000000e-05	3.6331803e-06	1
9.7541944e-05	 5.3425918e-06	 1.1250000e-05	 3.8729847e-07	 1.0750000e-05	3.8729847e-07	2
2.2812622e-04	 1.5112314e-05	 1.1500000e-05	 4.4721375e-07	 1.0500000e-05	4.4721375e-07	4
6.1502226e-04	 3.2188609e-05	 1.2000000e-05	 0.0000000e+00	 1.1250000e-05	3.8729847e-07	8
1.7386248e-03	 7.4434389e-05	 1.3500000e-05	 4.4721375e-07	 1.3500000e-05	4.4721375e-07	16
4.5904545e-03	 8.2965504e-05	 2.1250000e-05	 3.8729847e-07	 2.0750000e-05	3.8729847e-07	32
7.5670077e-03	 1.7482151e-05	 5.1749999e-05	 3.8729847e-07	 5.0999999e-05	0.0000000e+00	64
7.7908667e-03	 2.0124500e-03	 2.3675000e-04	 9.4647503e-05	 2.3325000e-04	9.0759848e-05	128
1.0564391e-02	 1.9984391e-04	 6.8900001e-04	 7.4296641e-06	 6.8250000e-04	6.8264158e-06	256
1.4030128e-02	 2.5801998e-05	 2.7429999e-03	 4.0000305e-06	 2.7332500e-03	3.8664711e-06	512
1.0515758e-02	 1.7843657e-04	 1.4613000e-02	 2.4505668e-04	 1.4554750e-02	2.4440595e-04	1024
1.0293266e-02	 4.5250143e-05	 6.3256750e-02	 2.9243506e-04	 6.2931251e-02	2.8465917e-04	2048
1.1048318e-02	 8.4277402e-06	 2.9062701e-01	 2.4151805e-04	 2.8914150e-01	2.2132200e-04	4096
1.0535664e-02	 1.6276333e-05	 1.2549848e+00	 1.4444364e-03	 1.2488663e+00	1.4518557e-03	8192
9.9046222e-03	 8.6494055e-04	 5.9629265e+00	 5.6962698e-01	 5.9380835e+00	5.6685640e-01	16384
