MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 Nmax
3.3827046e-05	 6.6178571e-06	 1.6250000e-05	 6.2409936e-06	 1.5500000e-05	5.6745043e-06	1
5.2115267e-05	 5.5052995e-06	 1.2000000e-05	 1.5491932e-06	 1.1500000e-05	1.3416409e-06	2
1.1339251e-04	 3.6169538e-06	 1.1250000e-05	 3.8729847e-07	 1.1000000e-05	0.0000000e+00	4
3.9297211e-04	 9.2143593e-06	 1.1000000e-05	 0.0000000e+00	 9.9999997e-06	0.0000000e+00	8
1.2644281e-03	 1.5725567e-04	 1.2500000e-05	 1.8439088e-06	 1.1750000e-05	1.7175563e-06	16
5.3699888e-03	 4.2936935e-04	 1.2000000e-05	 0.0000000e+00	 1.1500000e-05	4.4721375e-07	32
1.6007690e-02	 1.1957631e-03	 1.5500000e-05	 4.4721375e-07	 1.5000000e-05	0.0000000e+00	64
3.2068413e-02	 3.9523871e-03	 3.4000000e-05	 4.6475802e-06	 3.3249999e-05	4.5332109e-06	128
3.4978322e-02	 7.8053140e-04	 1.1375000e-04	 1.7690396e-05	 1.1325000e-04	1.7428425e-05	256
3.7767163e-02	 1.2153365e-02	 4.6775000e-04	 4.7654491e-05	 4.6250000e-04	4.9857802e-05	512
3.2121705e-02	 1.0001057e-03	 4.1697500e-03	 1.4982572e-04	 4.1415001e-03	1.4547640e-04	1024
1.9290499e-02	 7.4106903e-03	 2.0656000e-02	 1.9193609e-05	 2.0528750e-02	1.8301501e-05	2048
1.5730551e-02	 8.5104449e-03	 8.8678502e-02	 3.5522091e-05	 8.8161500e-02	3.2060045e-05	4096
2.2138074e-02	 1.1054406e-02	 3.6888400e-01	 3.4812832e-03	 3.6690174e-01	3.4707323e-03	8192
2.0242948e-02	 1.0296732e-02	 1.6750423e+00	 1.1634382e-02	 1.6661725e+00	1.1254761e-02	16384
