MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 Nmax
3.2278683e-05	 1.9783654e-05	 1.4000000e-05	 3.0983863e-06	 1.3000000e-05	3.0983863e-06	1
3.3428436e-05	 1.1018536e-06	 1.2000000e-05	 0.0000000e+00	 1.1250000e-05	3.8729847e-07	2
8.8803812e-05	 3.4534145e-06	 1.2000000e-05	 0.0000000e+00	 1.1500000e-05	4.4721375e-07	4
1.4326473e-05	 4.7222307e-07	 1.2250000e-05	 3.8729811e-07	 1.1250000e-05	3.8729847e-07	8
1.2425839e-05	 1.5277799e-06	 1.3500000e-05	 1.8439089e-06	 1.3250000e-05	1.9364916e-06	16
1.1430992e-05	 1.0642133e-06	 1.6500000e-05	 3.1304952e-06	 1.4250000e-05	1.4662880e-06	32
7.8830337e-06	 1.9735617e-06	 2.5750000e-05	 7.7556424e-06	 2.3000000e-05	8.2945760e-06	64
2.3948915e-06	 7.7452961e-07	 7.8249999e-05	 2.6813243e-05	 7.7750001e-05	2.6384657e-05	128
5.7227410e-07	 1.5841260e-07	 4.5525000e-04	 3.4405659e-05	 4.5350000e-04	3.2437629e-05	256
1.1746731e-07	 3.4034272e-08	 2.0585000e-03	 3.0922493e-05	 2.0482499e-03	3.1625163e-05	512
1.8725581e-08	 1.7889272e-10	 1.7263500e-02	 1.6933496e-04	 1.7191750e-02	1.6589585e-04	1024
3.8083864e-09	 1.0524002e-11	 8.4790999e-02	 2.3957847e-04	 8.4521750e-02	2.3318370e-04	2048
8.0543768e-10	 8.0620580e-12	 4.0095550e-01	 4.0503645e-03	 3.9969450e-01	4.0289815e-03	4096
1.8349549e-10	 4.5741293e-13	 1.7600670e+00	 4.3590602e-03	 1.7542170e+00	4.3738773e-03	8192
2.6418817e-10	 3.5173126e-10	 8.6857345e+00	 2.7121417e-02	 8.6556447e+00	2.6849778e-02	16384
