MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 Nmax
6.2124930e-06	 2.0687861e-06	 1.4000000e-05	 4.1472883e-06	 1.3500000e-05	3.8729832e-06	1
1.9101964e-05	 6.2963055e-07	 1.1250000e-05	 3.8729847e-07	 1.1250000e-05	3.8729847e-07	2
7.8033557e-05	 0.0000000e+00	 1.1750000e-05	 3.8729847e-07	 1.1000000e-05	0.0000000e+00	4
4.7419608e-04	 2.1161235e-05	 1.1750000e-05	 3.8729847e-07	 1.1250000e-05	3.8729847e-07	8
1.5580293e-03	 1.6607827e-05	 1.3000000e-05	 0.0000000e+00	 1.2000000e-05	0.0000000e+00	16
4.8641555e-03	 1.6300201e-04	 1.5500000e-05	 4.4721375e-07	 1.5000000e-05	6.3245546e-07	32
1.2742448e-02	 1.0313219e-04	 2.7000000e-05	 0.0000000e+00	 2.6000000e-05	0.0000000e+00	64
2.5047513e-02	 1.5629229e-04	 7.5999997e-05	 0.0000000e+00	 7.5749998e-05	3.8729565e-07	128
3.2023279e-02	 8.9202586e-05	 3.5075000e-04	 2.4799177e-06	 3.4825000e-04	9.7467641e-07	256
7.1925585e-03	 6.4017924e-05	 2.1067500e-03	 1.8776314e-05	 2.0975000e-03	1.8999979e-05	512
3.8200456e-03	 2.2806476e-05	 1.5956250e-02	 1.0520897e-04	 1.5888250e-02	1.0426160e-04	1024
3.5366131e-03	 2.7890840e-06	 6.8782000e-02	 4.8406553e-05	 6.8504998e-02	5.1228810e-05	2048
3.4799962e-03	 2.0556846e-06	 2.7937375e-01	 2.2539971e-05	 2.7832500e-01	3.5273837e-05	4096
2.9719866e-03	 2.9921924e-04	 1.3308192e+00	 1.4240126e-01	 1.3255375e+00	1.4186902e-01	8192
2.6139799e-03	 2.2447197e-04	 6.0616471e+00	 6.1220578e-01	 6.0405512e+00	6.1108577e-01	16384
