MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 Nmax
2.9262584e-05	 0.0000000e+00	 2.4000001e-05	 0.0000000e+00	 2.2000000e-05	0.0000000e+00	1
8.9413446e-05	 0.0000000e+00	 1.2000000e-05	 0.0000000e+00	 1.2000000e-05	0.0000000e+00	2
5.9907012e-04	 0.0000000e+00	 1.3000000e-05	 0.0000000e+00	 1.2000000e-05	0.0000000e+00	4
2.9732324e-03	 0.0000000e+00	 1.9999999e-05	 0.0000000e+00	 1.8999999e-05	0.0000000e+00	8
6.1963519e-03	 0.0000000e+00	 7.2000003e-05	 0.0000000e+00	 7.2000003e-05	0.0000000e+00	16
7.4431939e-03	 0.0000000e+00	 4.8900000e-04	 0.0000000e+00	 4.7900001e-04	0.0000000e+00	32
7.9657665e-03	 0.0000000e+00	 3.7150001e-03	 0.0000000e+00	 3.7000000e-03	0.0000000e+00	64
8.9103019e-03	 0.0000000e+00	 2.9291000e-02	 0.0000000e+00	 2.9182000e-02	0.0000000e+00	128
1.5590273e-02	 0.0000000e+00	 2.8569201e-01	 0.0000000e+00	 2.8462699e-01	0.0000000e+00	256
1.7292134e-02	 0.0000000e+00	 2.4817929e+00	 0.0000000e+00	 2.4714701e+00	0.0000000e+00	512
1.2834632e-02	 0.0000000e+00	 2.6606316e+01	 0.0000000e+00	 2.6491705e+01	0.0000000e+00	1024
5.3736085e-03	 0.0000000e+00	 5.1573254e+02	 0.0000000e+00	 5.1386517e+02	0.0000000e+00	2048
5.1997484e-03	 0.0000000e+00	 4.2697227e+03	 0.0000000e+00	 4.2555078e+03	0.0000000e+00	4096
5.6566185e-03	 0.0000000e+00	 3.1338539e+04	 0.0000000e+00	 3.1228809e+04	0.0000000e+00	8192
