MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 N_B
5.7008060e-09	 1.1923258e-09	 8.7977198e-02	 1.2366318e-03	 8.7445900e-02	1.1879300e-03	1
1.0340626e-08	 1.4372767e-09	 4.3868300e-02	 9.3249389e-04	 4.3609500e-02	8.9440892e-04	2
7.6953753e-09	 1.0350163e-09	 5.8935100e-02	 1.1136972e-03	 5.8549000e-02	1.0786218e-03	4
8.3667235e-09	 1.3080630e-09	 5.1584001e-02	 5.0570989e-04	 5.1264701e-02	5.0477774e-04	8
2.3137493e-08	 2.2236133e-09	 2.0308500e-02	 3.5508324e-04	 2.0166700e-02	3.4924555e-04	16
2.4765051e-08	 2.5487097e-09	 1.9008400e-02	 3.0690873e-04	 1.8860600e-02	2.9541136e-04	32
2.2601880e-08	 2.2186129e-09	 2.0836200e-02	 3.1136856e-04	 2.0650200e-02	3.0193489e-04	64
2.0430702e-08	 2.8498857e-09	 2.2263400e-02	 6.9433963e-04	 2.2078600e-02	6.7144746e-04	128
9.3156599e-09	 1.2938193e-09	 4.8697800e-02	 7.0532824e-04	 4.8403201e-02	6.5483998e-04	256
9.5992930e-09	 9.3903533e-10	 4.8913301e-02	 2.9868182e-04	 4.8616600e-02	2.6222893e-04	512
8.2806312e-09	 1.1345902e-09	 5.4779699e-02	 2.8950826e-04	 5.4430600e-02	2.6173629e-04	1024
8.5690164e-09	 8.5823861e-10	 5.4792101e-02	 3.7767935e-04	 5.4481499e-02	3.4160228e-04	2048
8.8352642e-09	 1.0114529e-10	 5.5009500e-02	 6.7270620e-04	 5.4656399e-02	6.3919503e-04	4096
