MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 Nmax
3.1922124e-05	 7.0720895e-06	 1.7000000e-05	 8.7863532e-06	 1.5750000e-05	8.3994048e-06	1
5.0133691e-05	 8.1596836e-06	 1.2750000e-05	 2.7110886e-06	 1.2500000e-05	2.3237901e-06	2
1.7874561e-04	 8.7977205e-06	 1.1250000e-05	 3.8729847e-07	 1.0750000e-05	3.8729847e-07	4
5.7194125e-04	 2.1282651e-05	 1.2000000e-05	 0.0000000e+00	 1.1500000e-05	4.4721375e-07	8
1.9241086e-03	 1.4145924e-05	 1.3750000e-05	 3.8729847e-07	 1.3000000e-05	0.0000000e+00	16
4.9931662e-03	 1.4577162e-04	 2.1500000e-05	 4.4721375e-07	 2.0250000e-05	3.8729847e-07	32
8.6897062e-03	 5.9494195e-05	 5.0749999e-05	 3.8729847e-07	 4.9749999e-05	3.8729847e-07	64
1.1590291e-02	 1.4162228e-03	 1.8400000e-04	 2.7885478e-05	 1.8225000e-04	2.6209730e-05	128
1.7418085e-02	 1.3368660e-05	 8.2400000e-04	 3.8470879e-06	 8.2125000e-04	1.9364854e-06	256
1.9434295e-02	 1.1134389e-05	 3.3065000e-03	 2.3238077e-06	 3.2949999e-03	2.0976337e-06	512
8.6188863e-03	 1.5717288e-04	 2.9835000e-02	 5.7065122e-04	 2.9733500e-02	5.6711566e-04	1024
5.7506538e-03	 1.3474209e-05	 1.7960700e-01	 3.9869185e-04	 1.7908450e-01	3.9727593e-04	2048
5.4032199e-03	 8.9986430e-06	 7.4951801e-01	 1.3306550e-03	 7.4734050e-01	1.3392389e-03	4096
5.2567707e-03	 9.2586666e-07	 3.0504662e+00	 7.4158205e-04	 3.0419534e+00	7.1728047e-04	8192
5.0238512e-03	 6.8167056e-06	 1.2998655e+01	 1.0565876e-02	 1.2963067e+01	1.0830541e-02	16384
