MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 N_B
2.3406473e-09	 9.2266511e-10	 1.8690200e-01	 2.7843441e-03	 1.8592490e-01	2.6635863e-03	1
2.7385527e-09	 1.5952886e-10	 1.4186560e-01	 2.0021991e-03	 1.4110550e-01	1.9113446e-03	2
3.1096597e-09	 4.1931611e-11	 1.2147310e-01	 1.7288062e-03	 1.2078890e-01	1.6454457e-03	4
3.5140563e-09	 4.4174340e-11	 1.0749020e-01	 1.4338999e-03	 1.0688570e-01	1.3558828e-03	8
5.6047008e-09	 1.2958236e-10	 6.7516301e-02	 1.6143892e-03	 6.7043401e-02	1.5561474e-03	16
3.8393633e-09	 1.9662433e-10	 1.0114890e-01	 8.6259850e-04	 1.0060120e-01	8.0055519e-04	32
3.8934173e-09	 4.3575828e-10	 1.0383820e-01	 9.0605044e-04	 1.0329010e-01	8.4754103e-04	64
3.8257678e-09	 3.2136416e-10	 1.0576590e-01	 8.4474384e-04	 1.0516380e-01	7.9181490e-04	128
3.4549051e-09	 1.3472547e-10	 1.1085240e-01	 7.0752258e-04	 1.1024630e-01	6.6760361e-04	256
3.5298357e-09	 4.0761075e-10	 1.1154460e-01	 8.6031854e-04	 1.1093060e-01	8.2823563e-04	512
3.5204828e-09	 4.2094473e-10	 1.1187000e-01	 6.8824683e-04	 1.1126840e-01	6.4165346e-04	1024
2.6878786e-09	 1.2999309e-10	 1.4449560e-01	 1.6443935e-03	 1.4368240e-01	1.5537030e-03	2048
4.6806717e-09	 1.6370379e-10	 1.4178460e-01	 1.7523149e-03	 1.4098590e-01	1.6724334e-03	4096
