MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 Nmax
1.5362857e-05	 6.5433134e-07	 1.4000000e-05	 3.6331803e-06	 1.3000000e-05	3.6331803e-06	1
1.9508389e-05	 0.0000000e+00	 1.1500000e-05	 4.4721375e-07	 1.1000000e-05	0.0000000e+00	2
7.8846406e-05	 5.1920655e-06	 1.2000000e-05	 0.0000000e+00	 1.1250000e-05	3.8729847e-07	4
3.3408116e-04	 3.7777895e-06	 1.1750000e-05	 3.8729847e-07	 1.1000000e-05	0.0000000e+00	8
1.2581895e-03	 3.8803120e-05	 1.1750000e-05	 3.8729847e-07	 1.1250000e-05	3.8729847e-07	16
4.9051014e-03	 5.9658197e-05	 1.2750000e-05	 3.8729811e-07	 1.2250000e-05	3.8729811e-07	32
1.7985627e-02	 4.4370146e-04	 1.6250000e-05	 3.8729847e-07	 1.5250000e-05	3.8729847e-07	64
4.7285219e-02	 3.7459469e-04	 4.0249999e-05	 3.8729847e-07	 3.9499999e-05	4.4721375e-07	128
6.5097272e-02	 1.3231690e-04	 1.8875000e-04	 1.7175585e-06	 1.8700000e-04	0.0000000e+00	256
1.7483599e-02	 1.8068584e-03	 8.7100000e-04	 4.6904192e-06	 8.6474999e-04	4.3069816e-06	512
1.0730528e-02	 1.4181487e-03	 6.2027500e-03	 3.2883890e-05	 6.1632501e-03	3.0895810e-05	1024
9.6743563e-03	 1.2693081e-03	 2.5580000e-02	 2.4859649e-05	 2.5442500e-02	2.3025679e-05	2048
9.6540535e-03	 1.2398553e-03	 1.0247950e-01	 9.0563076e-04	 1.0195450e-01	9.2008934e-04	4096
4.3904576e-03	 2.0476997e-05	 8.2439651e-01	 3.9479866e-03	 8.2101099e-01	3.8325365e-03	8192
4.3160002e-03	 5.6467106e-04	 3.6634722e+00	 3.0680644e-03	 3.6485394e+00	2.5548118e-03	16384
